name,email,password,isAdmin,store,cash
ahmed mohamed,ahmedmohamed@gmail.com,123456,0,ahmed mohamed,230
amr khalil,amrkhalil@gmail.com,123456,0,amr khalil,680
ali mohamed,alimohamed@gmail.com,123456,0,ali mohamed,560
hassan ali,hassanali@gmail.com,123456,0,hassan ali,781
sherrif mohamed,sherrifmohamed@gmail.com,123456,0,sherrif mohamed,367
Liam,Liam@gmail.com,123456,0,Liam,9521
Olivia,Olivia@gmail.com,123456,0,Olivia,1568
Noah,Noah@gmail.com,123456,0,Noah,365
Oliver,Oliver@gmail.com,123456,0,Oliver,102
Elijah,Elijah@gmail.com,123456,0,Elijah,350
William,William@gmail.com,123456,0,William,369
James,James@gmail.com,123456,0,James,745
Lucas,Lucas@gmail.com,123456,0,Lucas,842
Benjamin,Benjamin@gmail.com,123456,0,Benjamin,624
Alexander,Alexander@gmail.com,123456,0,Alexander,391
Emma,Emma@gmail.com,123456,0,Emma,1200
Ava,Ava@gmail.com,123456,0,Ava,1524
Charlotte,Charlotte@gmail.com,123456,0,Charlotte,16345
Sophia,Sophia@gmail.com,123456,0,Sophia,259
Amelia,Amelia@gmail.com,123456,0,Amelia,320
Isabella,Isabella@gmail.com,123456,0,Isabella,32
Evelyn,Evelyn@gmail.com,123456,0,Evelyn,986
Harper,Harper@gmail.com,123456,0,Harper,638
